Strain,Cultivator,Split,DT1,DT2,DT3,DT4,DT5,QR,Ailments,BestFor,Effects,Smell,Taste,Lineage
91 Octane,,70/30 I,Linalool,β-Caryophyllene,α-Humulene,,,,"Insomnia, Chronic pain, Anxiety, Muscle spasms, Stress","Embark on a soothing journey with 91 Octane, an indulgent Indica crafted from the marriage of Biscotti and Scotty 2 Hotty. Dive into a world where tranquility meets euphoria, as this 70/30 blend invites you to unwind with its relaxing embrace. The taste is a symphony of earthy richness with subtle sweetness, accompanied by an enticing aroma that whispers of its Biscotti and Scotty 2 Hotty lineage.","Calming and sedating, Relaxing body high, Mood enhancement, Stress relief, Sleep aid","Sweet, Earthy, Herbal undertones","Earthy, Sweet, Subtle herbal notes",Biscotti x Scotty 2 Hotty
A.R.C.,Bold,,Limonene,β-Caryophyllene,Linalool,,,,,,,,,
Acapulco Gold,Bold,Sativa,β-Caryophyllene,Limonene,β-Myrcene,,,,,Acapulco Gold needs no introduction. A full on sativa and one of the most important breeding strains in the world. Acapulco Gold has a legacy of being compared to a 5 star meal and is becoming harder to find. An aroma of earth and pepper with a hint of burnt toffee greets the patient upon first opening the jar,,,,
Acid OG,Bold,,β-Myrcene,Limonene,α-Pinene,,,,,,,,,
Afghan,Bold,Indica,β-Caryophyllene,Limonene,β-Myrcene,,,,,The classic of all classics and a genetic that needs no introduction. The cannabis world would not be what it is today without the genetic blueprint laid down by this and other landrace genetics. Everyone should try this classic varietal at least once.,,,,
After Life OG,Osage Creek,30-70,Limonene,β-Caryophyllene,β-Myrcene,,,https://drive.google.com/file/d/12lrmmK_BqQ0JOucB-ox7Dgc5iGNThKf1/view,"Evening Relxation, Pain Management, Creative Activities",Best enjoyed during the evening due to its deeply relaxing effects. Its calming properties make it suitable for activities like meditation or gentle relaxation.,"Relaxation, Sleepiness, Happy","Citrus, Spice, Earthy",,
AK-47,,65/35 S,β-Myrcene,β-Caryophyllene,Limonene,,,,Appetite Stimulation; Nausea Relief; Pain Relief; Stress Relief,"This strain is a hybrid with a rich history, and it's known for its long-lasting effects. AK-47 offers a powerful and creative buzz that can leave you feeling relaxed and happy. It's the perfect strain to help you get through a long day or a creative project. Top terpenes found in AK-47 are caryophyllene, myrcene, and limonene.","Euphoria, Relaxation, Creativity, Happiness, Focus","Earthy, Skunky, Woody, Pungent","Sweet, Spicy, Citrusy, Herbal",Colombian x Mexican x Thai x Afghani strains (non)
Alien OG,Carpenter Farms,,Limonene,α-Terpinene,α-Phellandrene,β-Caryophyllene,3-Carene,https://drive.google.com/file/d/12lrmmK_BqQ0JOucB-ox7Dgc5iGNThKf1/view,,,,,,
Amnesia Fast,,70/30 S,β-Myrcene,β-Caryophyllene,Limonene,,,,Appetite Stimulation; Uplifting Get up and Go,"As the name suggests, this sativa-dominant strain is known for its powerful cerebral effects. It offers a zesty and uplifting high that can help boost your energy and mood. This strain is perfect for those looking for a pick-me-up during the day. Top terpenes found in Amnesia Fast are Myrcene, Caryophyllene, Limonene.","Uplifted, Energetic, Happy, Focused, Sociable","Citrusy, Hazy, Earthy, Woody","Lemon, Sweet, Herbal, Spicy",Soma's Amnesia x Secret Hybrid
Animal Tsunami,River Valley Relief,,Limonene,β-Caryophyllene,β-Myrcene,β-Pinene,α-Humulene,https://rivervalleyrelief.com/flower/animal-tsunami/,,,,,,
